1	3
1	5
1	8
1	11
1	15
1	17
1	27
1	59
1	80
1	91
1	93
1	97
1	111
1	119
1	144
1	153
1	156
1	160
1	190
1	201
1	209
1	211
1	228
1	269
1	309
1	310
1	315
1	329
1	330
1	348
1	350
1	413
1	436
1	446
1	466
1	522
1	548
1	564
1	630
1	642
1	646
1	673
1	696
1	775
1	777
1	878
1	908
1	910
1	989
1	996
2	3
2	5
2	10
2	14
2	34
2	38
2	44
2	46
2	51
2	63
2	68
2	86
2	87
2	105
2	107
2	115
2	123
2	129
2	131
2	142
2	146
2	149
2	158
2	177
2	194
2	202
2	203
2	220
2	225
2	229
2	235
2	243
2	258
2	375
2	377
2	394
2	523
2	548
2	562
2	583
2	614
2	646
2	673
2	703
2	752
2	882
2	916
2	937
3	5
3	11
3	21
3	24
3	34
3	44
3	48
3	50
3	61
3	66
3	67
3	75
3	81
3	105
3	106
3	122
3	140
3	169
3	183
3	250
3	276
3	299
3	385
3	391
3	423
3	434
3	469
3	502
3	523
3	556
3	575
3	577
3	633
3	649
3	659
3	662
3	769
3	773
3	898
3	912
3	913
3	928
3	940
3	943
3	967
4	10
4	16
4	26
4	31
4	34
4	47
4	65
4	70
4	72
4	86
4	89
4	92
4	97
4	99
4	101
4	103
4	123
4	140
4	153
4	161
4	187
4	205
4	219
4	234
4	253
4	256
4	257
4	292
4	308
4	321
4	335
4	389
4	422
4	481
4	510
4	551
4	563
4	610
4	624
4	665
4	742
4	781
4	793
4	834
4	893
4	965
5	10
5	31
5	41
5	45
5	56
5	74
5	89
5	95
5	104
5	107
5	110
5	127
5	132
5	137
5	144
5	176
5	180
5	195
5	199
5	242
5	258
5	272
5	283
5	349
5	430
5	447
5	543
5	545
5	562
5	576
5	642
5	658
5	759
5	779
5	798
5	846
5	861
5	904
5	918
5	960
5	971
5	979
6	9
6	14
6	24
6	28
6	34
6	37
6	45
6	49
6	84
6	85
6	105
6	125
6	140
6	155
6	186
6	212
6	224
6	271
6	285
6	287
6	289
6	401
6	408
6	416
6	434
6	435
6	452
6	471
6	483
6	503
6	510
6	533
6	558
6	628
6	631
6	634
6	640
6	642
6	669
6	702
6	785
6	864
6	928
6	967
6	993
7	8
7	15
7	18
7	40
7	45
7	46
7	55
7	64
7	120
7	124
7	125
7	128
7	134
7	142
7	144
7	154
7	199
7	206
7	223
7	237
7	242
7	250
7	255
7	265
7	275
7	279
7	309
7	313
7	318
7	328
7	335
7	340
7	371
7	372
7	396
7	465
7	490
7	523
7	626
7	651
7	683
7	686
7	715
7	776
7	956
8	18
8	20
8	25
8	35
8	47
8	80
8	97
8	114
8	118
8	122
8	161
8	166
8	196
8	241
8	264
8	278
8	300
8	308
8	330
8	345
8	371
8	390
8	396
8	489
8	500
8	515
8	546
8	547
8	559
8	593
8	684
8	686
8	720
8	743
8	804
8	813
8	817
8	829
